"COMID"	"Value"
1	60.6
2	32
3	74.7
4	55.1
5	52.5
6	9.5
7	97.6
8	47.1
9	4
10	2.7
11	55.7
12	5.9
13	101.7
14	83.8
15	53.6
16	56.3
17	46.3
18	96.3
19	76.5
20	69.5
21	68.3
22	78.5
23	0.2
24	2.2
25	51.5
26	36.7
27	36.3
28	55
29	55.8
30	28.4
31	66.8
32	48.1
33	82.6
34	2.3
35	51.3
36	13.6
37	73.5
38	2.4
39	1.2
40	47.2
41	80.4
42	52.2
43	41.7
44	51.7
45	32.7
46	94.7
47	113.7
48	79.5
49	47.3
50	13.9
51	1.7
52	111.5
53	18.8
54	77.9
55	71.5
56	63
57	34.8
58	1.9
59	38.2
60	2.3
61	10.7
62	13.5
63	67.1
64	36.6
65	6.5
66	39.7
67	68.5
68	121.1
69	27.8
70	5.6
71	8.4
72	67
73	2.6
74	106.2
75	8.7
76	9.2
77	31.9
78	22.6
79	66.8
80	5.7
81	33.9
82	22.6
83	59.9
84	1.3
85	55.8
86	108.8
87	3.1
88	3.4
89	10
90	46.3
91	20.6
92	65.5
93	51.6
94	12.2
95	100.9
96	3.2
97	63.3
98	0.2
99	16.7
100	69.6
101	54.4
102	50
103	2.1
104	30
105	5.5
106	53.4
107	25.2
108	0.6
109	2.3
110	1.3
111	6
112	50.9
113	3.2
114	53.8
115	47
116	112.3
117	57.1
118	60.9
119	44.5
120	29.2
121	111.3
122	48.4
123	8.6
124	59.2
125	121
126	64.1
127	23.3
128	58.9
129	1.3
130	8.7
131	113.1
132	1.3
133	55.9
134	44.3
135	60.9
136	119.7
137	59.1
138	1.6
139	0.9
140	43.5
141	41.2
142	3.1
143	36.2
144	25.3
145	0.9
146	50.6
147	61.9
148	59.6
149	62.1
150	52.9
151	28.6
152	58.2
153	0.9
154	57.6
155	9.5
156	7.5
157	56.5
158	2.1
159	120
160	58.7
161	5.6
162	1.4
163	107.8
164	8.1
165	25.9
166	1.1
167	56
168	55
169	58.6
170	48.8
171	92
172	5.7
173	7.7
174	1.1
175	104.1
176	56
177	112.5
178	49.2
179	50
180	1
181	4.3
182	28.9
183	11
184	0.8
185	1.2
186	33.7
187	42.2
188	1
189	0.9
190	44.2
191	0.8
192	53.6
193	2.2
194	60.5
195	13.4
196	0.7
197	99.3
198	0.7
199	48.5
200	0.6
201	0.6
202	1.5
203	0.7
204	0.4
205	2
206	33.7
207	14.4
208	58
209	47.6
210	88.4
211	63.1
212	50.1
213	52.8
214	0.4
215	55.1
216	43.2
217	93
218	25.8
219	32.5
220	0.8
221	55.3
222	55.9
223	54.7
224	2.4
225	32.6
226	54.1
227	9.6
228	55.9
229	0.3
230	17.5
231	90.7
232	45.5
233	62.2
234	73.3
235	9.8
236	54.2
237	92.8
238	33.6
239	53.9
240	100
241	54.5
