"COMID"	"Value"
1	51.3
2	26.6
3	154.7
4	68.5
5	42.1
6	26.5
7	254
8	55.6
9	5.8
10	8.6
11	88.2
12	2.2
13	58.6
14	156.6
15	56.4
16	187.5
17	34.5
18	195.9
19	248.4
20	116.8
21	103.7
22	154.7
23	1.8
24	2.2
25	75.2
26	60.9
27	51.9
28	46.6
29	191.1
30	32
31	89.2
32	34.1
33	206
34	1.5
35	84.2
36	5.6
37	124
38	8.3
39	0.7
40	137.2
41	136.1
42	92.7
43	131.4
44	39.5
45	30.4
46	63.6
47	156.9
48	193.9
49	58.9
50	25.1
51	1
52	100.4
53	8.9
54	127.6
55	105.5
56	91.9
57	113.1
58	1.2
59	52.2
60	1.5
61	2.7
62	6.2
63	208.5
64	70.9
65	2.1
66	109.7
67	126.3
68	213.5
69	49
70	12.1
71	31.8
72	94
73	1.8
74	249.5
75	8.3
76	4.1
77	106
78	32.6
79	87.2
80	3.5
81	70.8
82	83.1
83	88.2
84	6.2
85	75
86	216
87	1.9
88	2
89	19.4
90	81
91	44.3
92	89.1
93	69.1
94	7.3
95	233.2
96	2.2
97	109.8
98	3.2
99	32.8
100	96.2
101	167.7
102	66.9
103	1.7
104	68.9
105	5.7
106	99.6
107	37.1
108	5.9
109	1.5
110	1
111	15.9
112	76.4
113	6.4
114	84.1
115	77.3
116	260.7
117	118
118	57.7
119	3.1
120	51
121	106.8
122	54.9
123	14.8
124	66.3
125	421.3
126	74.8
127	39.1
128	134.1
129	1
130	9.4
131	158.1
132	1.2
133	98
134	49.1
135	53.7
136	327.7
137	120.1
138	1
139	0.5
140	53.9
141	57
142	1.8
143	0.1
144	33.3
145	0.5
146	60.4
147	218.1
148	105.3
149	61
150	106.1
151	67.2
152	51.9
153	0.3
154	51.9
155	11.3
156	9.2
157	102.5
158	2.3
159	213.5
160	66.3
161	8.7
162	0.8
163	110.4
164	13
165	0.9
166	0.3
167	95.1
168	11.2
169	98.5
170	59.1
171	194.9
172	7.1
173	15.3
174	0.5
175	118.2
176	102.2
177	205.8
178	65.5
179	60
180	0.3
181	2.7
182	32.7
183	13.5
184	0.1
185	0.6
186	40
187	48.4
188	0.1
189	0.2
190	63.1
191	0.2
192	74.4
193	4.2
194	95
195	34.1
196	0.2
197	230
198	0.2
199	76.2
200	0.2
201	0.1
202	0.8
203	0.3
204	0.1
205	0.8
206	101.8
207	25.7
208	85.9
209	87.6
210	245.2
211	231.3
212	81.3
213	87.3
214	0.8
215	88.2
216	69.7
217	200.1
218	24.4
219	37.5
220	0.5
221	22.5
222	83.7
223	53.3
224	1.3
225	35.8
226	72.4
227	13.9
228	94.4
229	0.2
230	12.5
231	257.9
232	64.8
233	43.1
234	39.2
235	7
236	83.4
237	150.8
238	18.6
239	51
240	329.4
241	77.1
242	1.1
243	7.5
244	34.2
245	85.3
246	41
247	7.5
248	4.3
249	0.7
250	36.2
251	54.6
252	137.1
253	62
254	0.8
255	0.1
256	32.3
257	0.5
258	75.7
259	8
260	2.2
261	76.8
262	61.8
263	6.7
264	0.2
265	0
266	58.3
267	46.7
268	142.2
269	39.2
270	0
271	307.4
272	73.8
273	40.5
274	14.6
275	44
276	21.3
277	0.1
278	63.8
279	0.2
280	34.7
281	67.7
282	39.8
283	0.2
284	29.5
285	1.7
286	49.8
287	148.6
288	10.6
289	0.1
290	0
291	136.4
292	14.4
293	13.1
294	161.6
295	0
296	51.5
297	42.3
298	0.4
299	147.5
300	54.3
301	0
302	58.1
303	44.3
304	7.7
305	43.1
306	25.4
307	55.9
308	221.5
309	1
310	19.8
311	47.2
312	50.3
313	31.5
314	8.7
315	0.4
316	0.1
317	12.8
318	19.4
319	15.6
320	51.3
321	0
322	42.6
323	51.4
324	1.2
325	20.6
326	185.8
327	0.9
328	1.1
329	0
330	2.2
331	0.4
332	0
333	0.1
334	0.3
335	114.1
336	0.1
337	36.7
338	0.1
339	5.1
340	1.6
341	0
342	13.4
343	0.1
344	40.7
345	6.1
346	66.1
347	0.1
348	16.8
349	7.8
350	0.1
351	0.2
352	0.1
353	294.5
354	4.1
355	27.5
356	0.3
357	22.3
358	4.6
359	13
360	4
361	0.9
362	5.2
363	5.6
364	11.1
365	139.2
366	53.1
367	7.9
368	162.7
369	6
370	287
371	13.6
372	8.4
373	72.1
374	6.3
375	182.5
376	142.1
377	223.3
378	65.9
379	7.8
380	182.4
381	3.7
382	7.8
383	198.7
384	6.1
385	22.2
386	6.2
387	140.7
388	136.6
389	137.1
390	135.2
391	10
392	203.7
393	14.9
394	13.2
395	7.3
396	41.6
397	26.2
398	1.4
399	85.5
400	3.5
401	154.5
402	16.7
403	5.8
404	3.7
405	10.6
406	195.3
407	41.9
408	2.5
409	9.2
410	188.5
411	134.8
412	6.9
413	175.6
414	4
415	18.4
416	0.8
417	3.5
418	4.9
419	85.2
420	3.3
421	25
422	11.9
423	148
424	147.5
425	164.5
426	3.8
427	169.4
428	123
429	91.9
430	111.5
431	15
432	28.4
433	176.5
434	41.3
435	9.9
436	87.7
437	46.7
438	268.5
439	4.3
440	118
441	101
442	9
443	91.6
444	32.9
445	325.5
446	0.5
447	358.6
448	271.9
449	4.2
450	72.2
451	11.4
452	60.7
453	9.8
454	1.8
455	43.6
456	0.2
457	175.3
458	109.7
459	60.6
460	24.2
461	84.2
462	206.8
463	14
464	17
465	107.8
466	23.6
467	111.9
468	0.1
469	36.1
470	0.6
471	6.2
472	72.4
473	61.6
474	0.2
475	9.7
476	0
477	234.7
478	0.1
479	55.3
480	122.1
481	7.6
482	3.1
483	186.8
484	7.5
485	31.2
486	18.9
487	75.3
488	52.8
489	4.6
490	25.3
491	104.1
492	173.3
493	2.4
494	125
495	30.7
496	1.3
497	326.1
498	65.7
499	4.5
500	326.4
501	118
502	116.2
503	1.6
504	4.2
505	128.2
506	283.1
507	219.5
508	149.8
509	290.2
510	101.3
511	52.4
512	76.2
513	0.4
514	91
515	3.5
516	13
517	169.7
518	17.9
519	29
520	79.8
521	100.3
522	2.9
523	1.4
524	155
525	107
526	22.1
527	145.1
528	0.1
529	7.6
530	207.7
531	125.2
532	202.7
533	164
534	32.8
535	221.6
536	162.9
537	54.2
538	22
539	5.6
540	0.5
541	148.2
542	135.3
543	79.9
544	12.7
545	69.5
546	173.7
547	133.6
548	69.8
549	88.6
550	7.9
551	120.3
552	120.8
553	87
554	5.5
555	0.3
556	129.5
557	29.5
558	63.3
559	121.4
560	139
561	196
562	190.4
563	12.8
564	68.5
565	141
566	190.3
567	1.5
568	210.8
569	44.9
570	3.4
571	175.3
572	135.8
573	20.3
574	129.1
575	0.9
576	55.9
577	26.5
578	131.9
579	141.3
580	149.4
581	22.9
582	199.2
583	0
584	0
585	78.2
586	148.2
587	108.6
588	97.1
589	74.9
590	5.2
591	189.9
592	173.4
593	105.2
594	53.6
595	181.9
596	0.1
597	2.7
598	5.1
599	114.6
600	41.6
601	7.5
602	3.9
603	185.8
604	236.3
605	14.1
606	226
607	0.5
608	27
609	39.3
610	0
611	125.4
612	37.3
613	2.3
614	39.5
615	83.1
616	19.7
617	142.7
618	148.7
619	91.6
620	63.1
621	362.7
622	70
623	75.8
624	59.3
625	0.9
626	2.7
627	137.8
628	8.5
629	39.3
630	196.3
631	0.3
632	178.1
633	55.6
634	2.5
635	98.2
636	36.3
637	55.3
638	1.7
639	221.2
640	123.1
641	198.7
642	10.7
643	69.9
644	25.4
645	187.4
646	76.2
