"COMID"	"Value"
1	59.8
2	21.6
3	3
4	0.2
5	16.1
6	0
7	9.7
8	1.2
9	10.5
10	0
11	0.6
12	6.4
13	0
14	54.2
15	0.6
16	5.6
17	24.4
18	9.8
19	2.8
20	54.2
21	0.9
22	9.6
23	0
24	0.5
25	2
26	1.4
27	0.5
28	7.8
29	0.4
30	0
31	152.2
32	1.9
33	6.5
34	7.8
35	0.1
36	1.4
37	74
38	0
39	3.1
40	100.1
41	40.5
42	0.6
43	128.7
44	4
45	30.1
46	92
47	0.7
48	9.3
49	3.6
50	27.2
51	1.1
52	4.6
53	0.7
54	7
55	9.8
56	176.9
57	116.1
58	12.3
59	4.1
60	9.9
61	0.5
62	0.5
63	2.2
64	87.5
65	1.3
66	11.2
67	26.1
68	0.2
69	1.8
70	0.1
71	6
72	3.7
73	0.7
74	0.6
75	0.3
76	0.1
77	0
78	0.1
79	20.3
80	0.1
81	0
82	0
83	83
84	0
85	0.8
86	0.2
87	0.6
88	2.6
89	0.1
90	0.7
91	1.3
92	11
93	2
94	2.7
95	6.6
96	2
97	44.1
98	6
99	0.1
100	14.4
101	0.4
102	0.4
103	0.8
104	11.6
105	0.6
106	4.5
107	0.2
108	0
109	0.7
110	3
111	0
112	2.9
113	90.5
114	3.1
115	0.6
116	0.2
117	6.3
118	21.2
119	0
120	0.3
121	0
122	13.6
123	11.6
124	8.5
125	0.3
126	10.6
127	0.2
128	21.6
129	1
130	0.9
131	3.1
132	0.1
133	6.4
134	13.8
135	33.8
136	0.4
137	41.2
138	0.5
139	0.2
140	0.5
141	1
142	0.2
143	0
144	0.3
145	91.2
146	8.5
147	3.4
148	48.3
149	5.5
150	97.6
151	0
152	20.2
153	0.1
154	55.5
155	0
156	1.4
157	74
158	0.8
159	2
160	4.8
161	1.3
162	0.1
163	0
164	0.1
165	0
166	0.1
167	15.5
168	0
169	6.1
170	0.7
171	0.6
172	0.2
173	0.1
174	70
175	0
176	7.6
177	1.8
178	61.6
179	6.2
180	0.2
181	0
182	19.3
183	0
184	0.2
185	0.3
186	1.6
187	0.2
188	0.1
189	0.1
190	0.3
191	0.2
192	1.4
193	21.4
194	4.5
195	0
196	0.4
197	1.1
198	0.3
199	4.2
200	91.7
201	92
202	0.1
203	0.1
204	23.2
205	1.4
206	6.4
207	1.8
208	4.8
209	5.2
210	0.3
211	2.8
212	19.8
213	6
214	0.1
215	23.4
216	11.8
217	0.1
218	0.1
219	0.1
220	25.2
221	0
222	6.2
223	19.8
224	0
225	75.3
226	6.3
227	6.4
228	4.7
229	0.4
230	75.9
231	0.7
232	0.2
233	5.9
234	4.8
235	75.9
236	0.8
237	0.2
238	0.6
239	1.3
240	0.4
241	1.1
242	6.4
243	0
244	3
245	2.8
246	1
247	0
248	0
249	6.4
250	2.9
251	4.3
252	8.5
253	0.4
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	0.6
262	2.3
263	0
264	0
265	0
266	0.6
267	1.8
268	2.6
269	4.7
270	0
271	0.2
272	0.2
273	0.8
274	4.8
275	1.7
276	0
277	0.2
278	0.7
279	76.1
280	0.4
281	0.3
282	1
283	0.2
284	0.2
285	0
286	0.4
287	5.9
288	0.1
289	0.3
290	0.4
291	20.2
292	0.3
293	4.8
294	19.6
295	0.1
296	1.5
297	0.9
298	0
299	0
300	2.7
301	0.2
302	2.5
303	0.5
304	0.1
305	1.2
306	0.3
307	4.3
308	0
309	0.4
310	0.5
