"COMID"	"Value"
1	3.1
2	6.4
3	5.1
4	1
5	2.5
6	0
7	12.4
8	7.1
9	5.6
10	0
11	2.1
12	5.6
13	0.2
14	12.6
15	7.5
16	9
17	7.6
18	9.2
19	8.2
20	3.8
21	7.5
22	5.2
23	0
24	5.6
25	7.3
26	0.1
27	5.4
28	3
29	8.4
30	0
31	3.1
32	2
33	13.5
34	5.6
35	0.2
36	5.6
37	10.7
38	0
39	5.6
40	17.5
41	12
42	6.5
43	16.4
44	2.5
45	6.4
46	0.3
47	10.5
48	13
49	6.2
50	7.5
51	5.6
52	3.3
53	5.6
54	10.3
55	10.2
56	8.6
57	16.7
58	5.6
59	6.4
60	5.6
61	5.6
62	5.6
63	6.4
64	5.2
65	5.6
66	1.5
67	10.4
68	11.4
69	1
70	1
71	0
72	9
73	5.6
74	10.4
75	1
76	1
77	0.2
78	1
79	9.4
80	1
81	0.1
82	0
83	7
84	0
85	6.3
86	11
87	5.6
88	5.6
89	1
90	5.2
91	7.5
92	10.7
93	6.9
94	5.6
95	11.4
96	7.5
97	9
98	0
99	1
100	9.2
101	4
102	5.2
103	5.6
104	0.1
105	7.5
106	8.8
107	1
108	0
109	7.5
110	7.5
111	0
112	7.8
113	1
114	7.5
115	3.6
116	10.7
117	2.2
118	5.3
119	0
120	3.2
121	2.3
122	6.1
123	0
124	4.9
125	12.2
126	8.4
127	1
128	2.5
129	5.6
130	1
131	7.6
132	1
133	2.1
134	4.6
135	4.7
136	12.2
137	2.6
138	1
139	1
140	4.4
141	3.7
142	1
143	0
144	3.3
145	1
146	4.6
147	5.8
148	2.6
149	4.8
150	2.5
151	0.2
152	4.5
153	1
154	4.1
155	0
156	1
157	2.7
158	1
159	8.8
160	6.8
161	1
162	1
163	3
164	1
165	0
166	1
167	2.1
168	0
169	2.3
170	5.7
171	9.7
172	1
173	1
174	7.5
175	3.7
176	9
177	8.9
178	3.3
179	4.4
180	1
181	0
182	3.6
183	0
184	1
185	1
186	3.8
187	2.6
188	1
189	1
190	4.2
191	1
192	4
193	1
194	7.6
195	0
196	1
197	8.8
198	1
199	4.4
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	7.4
209	4.5
210	9.6
211	5.9
212	2
213	4.4
214	1
215	1.8
216	3.4
217	8
218	1.1
219	1.3
220	1
221	0
222	1.7
223	6.2
224	0
225	1.8
226	1.4
227	0
228	4.5
229	1
230	0
231	8.9
232	3.2
233	6.3
234	0.7
235	0
236	4.1
237	4.9
238	1.8
239	1
240	11.6
241	1.3
242	0
243	0
244	5.7
245	4.1
246	5.2
247	0
248	0
249	0
250	5.6
251	1.1
252	16.8
253	2.9
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	3.7
262	1
263	0
264	0
265	0
266	3
267	5.5
268	13.8
269	5.9
270	0
271	10.5
272	1
273	4.9
274	0
275	0.7
276	0
277	1
278	1
279	0
280	0.6
281	1
282	4.8
283	1
284	1
285	0
286	0.9
287	17.9
288	1
289	1
290	1
291	11.1
292	1
293	0
294	14.7
295	1
296	4.3
297	5.3
298	0
299	1.6
300	5.7
301	1
302	5.9
303	4.4
304	1
305	4.9
306	1
307	5.4
308	5.7
309	1
310	4.1
311	5.4
312	4.8
313	4.5
314	1
315	1
316	1
317	0
318	1
319	0
320	5.1
321	1
322	3.8
323	5.1
324	1
325	0
326	13.1
327	1
328	1
329	1
330	0
331	1
332	1
333	1
334	1
335	0.5
336	1
337	0.1
338	1
339	1
340	1
341	1
342	0
343	1
344	0
345	1
346	0.1
347	1
348	1
349	1
350	1
351	1
352	1
353	6.1
354	1
355	0
356	1
357	0
358	1
359	0
360	1
361	1
362	1
363	1
364	0
365	2.1
366	5.7
367	0
368	12
369	0
370	5.7
371	0
372	5.6
373	5.9
374	0
375	11.9
376	9.7
377	5.1
378	5.8
379	0
380	5
381	0
382	0
383	9.1
384	0
385	0
386	0
387	30.1
388	4.2
389	7.2
390	29.3
391	5.6
392	8.5
393	0
394	5.6
395	0
396	0
397	0
398	5.6
399	0.4
400	5.6
401	6.7
402	0
403	0
404	0
405	0
406	14.2
407	0.1
408	0
409	0
410	25.3
411	7
412	0
413	14.9
414	0
415	0
416	0
417	0
418	0
419	6.9
420	0
421	0
422	0.1
423	3
424	13.1
425	14.6
426	0
427	14.4
428	12.8
429	5.1
430	15.3
431	0
432	5.6
433	11.2
434	5.8
435	5.6
436	6.5
437	0.6
438	26.8
439	0
440	3.8
441	13.7
442	4.8
443	11.6
444	5.7
445	45.8
446	5.6
447	55.8
448	44.6
449	5.6
450	6.8
451	0
452	4.2
453	0
454	5.6
455	6.8
456	5.6
457	10.9
458	3.5
459	3
460	5.6
461	10.6
462	15.8
463	7.5
464	1
465	8.2
466	0
467	13.2
468	1
469	6.5
470	1
471	1
472	3.6
473	2.2
474	1
475	0
476	0
477	16.2
478	1
479	9.2
480	8.4
481	0
482	0
483	11.3
484	5.6
485	5.3
486	0.1
487	9.5
488	3.3
489	0
490	2.6
491	12.2
492	5.5
493	0
494	14.8
495	0.7
496	0
497	11.2
498	9.2
499	0
500	10.9
501	8.2
502	14.7
503	5.6
504	5.6
505	8.6
506	10.5
507	11.5
508	8.8
509	10.4
510	8.1
511	11
512	12.2
513	0
514	7.7
515	0
516	5.6
517	12
518	5.7
519	6.2
520	0.6
521	7.2
522	5.6
523	0
524	8.1
525	7
526	5.8
527	7.7
528	5.6
529	0
530	30.7
531	22.4
532	12
533	8
534	2.2
535	32.3
536	8.1
537	0.1
538	0
539	0.6
540	5.6
541	24
542	21.6
543	5.2
544	0
545	0.3
546	25.1
547	11.5
548	0.2
549	1.1
550	0.6
551	22
552	11.4
553	6.8
554	0
555	5.6
556	10.8
557	6
558	0.3
559	12.8
560	22.9
561	10.5
562	23.5
563	0
564	17.2
565	13.8
566	22.9
567	5.6
568	23.6
569	7.3
570	0
571	11.5
572	20.9
573	5.8
574	10.3
575	5.6
576	0
577	0
578	12.2
579	12.8
580	21.2
581	0
582	8.8
583	5.6
584	5.6
585	0
586	8.8
587	20.8
588	5
589	45.6
590	0
591	9.1
592	13.4
593	19.6
594	6.8
595	8
596	5.6
597	0
598	5.6
599	21.4
600	6.1
601	5.6
602	0
603	11.6
604	6.9
605	0
606	6.8
607	5.6
608	5.7
609	0
610	5.6
611	4.2
612	0
613	0
614	4.7
615	0.6
616	0
617	52.1
618	5.8
619	8.2
620	6.6
621	4.8
622	6.3
623	6.6
624	5.2
625	5.6
626	5.6
627	20.2
628	5.6
629	7.5
630	26.1
631	5.6
632	7.4
633	9.5
634	0
635	8.9
636	7.5
637	6.9
638	5.6
639	7.9
640	0.9
641	23.4
642	0
643	4.9
644	0
645	7.5
646	10.5
647	5.6
648	14.4
649	4.2
650	5.6
651	28.2
652	5.6
653	0
654	5.6
655	0
656	5.6
657	5.4
658	8.3
659	5.1
660	0
661	7.2
662	9.2
663	4.6
664	5.6
665	5.6
666	5.6
667	8.3
668	50.3
669	10.5
670	5.6
671	5.6
672	5.6
673	9.4
674	1.2
675	12
676	3.6
677	25.1
678	6.2
679	5.6
680	0
681	11.7
682	4.2
683	53.3
684	3.9
685	5.6
686	25.6
687	0
688	11.8
689	5.6
690	10.7
691	6.5
692	25
693	5.9
694	0.3
695	6.3
696	13.1
697	5.6
698	4
699	8.9
700	11.1
701	2.6
702	13.4
703	11
704	7.5
705	4.3
706	5.8
707	25
708	12
709	3.8
710	3.8
711	0
712	0.7
713	4
714	5.6
715	3.1
716	0
717	9.8
718	11.9
719	3.6
720	10.7
721	5.6
722	3.3
723	11.6
724	11.9
725	5.6
726	0
727	1
728	3.9
729	2.4
730	3.2
731	6.2
732	0.3
733	3.1
734	9.9
735	1
736	5.8
737	9.2
738	8.8
739	10.7
740	12.4
741	3.4
742	10.3
743	3.6
744	0
745	0
746	9.7
747	9.8
748	0
749	4.3
750	5.6
751	7.4
752	3.3
753	10.1
754	11.1
755	4
756	7.3
757	12.9
758	2.2
759	5.6
760	8.3
761	5.6
762	3.1
763	3.4
764	23.3
765	8.2
766	0
767	3.2
768	7.7
769	13.9
770	6.9
771	0.6
772	1.8
773	6.6
774	6.8
775	5.2
776	5.8
777	2.5
778	7.6
779	0
780	13.9
781	3.4
782	228
783	199.9
784	250.1
785	249.1
786	186.4
787	246.8
788	170
789	206.4
790	216.3
791	185
792	190.2
793	171.6
794	240.8
795	256.6
796	165.8
797	254.1
798	169.2
799	190.9
800	219.2
801	171.6
802	190.7
803	214.2
804	142.4
805	176.7
806	211.8
807	121.3
808	192.4
809	229.3
810	261.5
811	170.1
812	222.3
813	215.4
814	193.4
815	218.4
816	165.6
817	161.2
818	205.5
819	264
820	187.5
821	182.6
822	244.3
823	186.2
824	221.9
825	173.6
826	246.6
827	284.6
828	256
829	187.4
830	240.9
831	167.9
832	282.7
833	182.1
834	183.7
835	236.2
836	238.2
837	80.4
838	222.8
839	199.7
840	229.5
841	211.4
842	229.1
843	22
844	181.3
845	195.1
846	230.6
847	222.1
848	224.8
849	241.1
850	164.4
851	156.7
852	125.2
853	135
854	138.8
855	136.2
856	205.9
857	191.4
858	175.6
859	154.9
860	187.5
861	150.7
862	8.1
863	120.7
864	170.6
865	126.6
866	191.9
867	97.8
868	195.6
869	184.4
870	52.2
871	165.7
872	174.7
873	10.1
874	153.2
875	175
876	198.2
877	133.3
878	131.7
879	172.5
880	180.1
881	198.9
882	177.6
883	87.3
884	137.9
885	129.2
886	6.7
887	159.4
888	189.3
889	147.1
890	236.8
891	213.7
892	168.9
893	217.4
894	6.9
895	157
896	187.1
897	202.3
898	185
899	226.4
900	230.9
901	165.1
902	189
903	175.4
904	141.3
905	167.5
906	183.1
907	158.3
908	169.7
909	143
910	0
911	144.5
912	192.3
913	164.1
914	196.6
915	0
916	156.6
917	148.7
918	168.4
919	166.4
920	205.9
921	92.9
922	200.3
923	20.9
924	171.3
925	155.4
926	222.1
927	149.6
928	11.4
929	160.6
930	222.5
931	151.4
932	13.9
933	211.7
934	0
935	205.1
936	198.4
937	186.6
938	174.8
939	147.7
940	175
941	158.8
942	185
943	0
944	180.9
945	195.2
946	193.7
947	0
948	161.5
949	245.9
950	246.6
951	238.2
952	174
953	13
954	15.7
955	238.2
956	165.5
957	176.4
958	12
959	189.9
960	213.9
961	248
962	167
963	160.6
964	0
965	207.5
966	240.2
967	0
968	216.1
969	202.7
970	48.2
971	224.7
972	169.8
973	181.3
974	188.6
975	177.5
976	140.2
977	213.4
978	12
979	226.4
980	145.5
981	176.4
982	213
983	213
984	144
985	216.1
986	209.1
987	12.5
988	211.7
989	215.2
990	0
991	201.5
992	0
993	208.1
994	169.4
995	176.3
996	221
997	205.1
998	12.5
999	164.6
1000	0
1001	14.2
1002	150.3
1003	0
1004	215.2
1005	10.6
1006	202.8
1007	0
1008	10.4
1009	0
1010	248.9
1011	155.5
1012	187.4
1013	10
1014	224.1
1015	10.9
1016	0
1017	206.4
1018	11.2
1019	10.6
1020	262.6
1021	168.1
1022	237.6
1023	210.9
1024	231.7
1025	241.6
1026	238.9
1027	177.2
1028	189.7
1029	7.8
1030	0.2
1031	0
1032	0
1033	0.2
1034	176.2
1035	0.1
1036	138.6
1037	239.3
1038	175.4
1039	11.3
1040	7.6
1041	260.9
1042	9
1043	0
1044	7.9
1045	10
1046	9.8
1047	220.6
1048	182.5
1049	192.9
1050	0
1051	150.4
1052	161
1053	6.9
1054	179.4
1055	185
1056	249.1
1057	0.2
1058	195.9
1059	0.2
1060	194.2
1061	0
1062	287.5
1063	210.7
1064	0.1
1065	10.4
1066	178.4
1067	0.1
1068	0.2
1069	0.1
1070	181.9
1071	172.1
1072	0.1
1073	0.1
1074	181.7
1075	0
1076	178.7
1077	0.1
1078	270.9
1079	206.3
1080	9.3
1081	0.1
1082	170.5
1083	0.1
1084	243.5
1085	167.5
1086	196.6
1087	0
1088	0.1
1089	11.2
1090	151.6
1091	217.7
1092	0.1
1093	8.7
1094	0.1
1095	7.1
1096	9
1097	214.9
1098	10.2
1099	0
1100	0
1101	0.1
1102	176.8
1103	0.1
1104	8.6
1105	12.6
1106	10.9
1107	0.1
1108	6.9
1109	159.9
1110	0.1
1111	0.1
1112	177.8
1113	202
1114	190.5
1115	12.2
1116	7.9
1117	182.5
1118	12.8
1119	8.3
1120	5.5
1121	7.9
1122	9.3
1123	10.9
1124	146.3
1125	6.8
1126	189.9
1127	7.2
1128	177.4
1129	164.3
1130	8.4
1131	0.1
1132	185.9
1133	168.7
1134	8.9
1135	0.1
1136	0.1
1137	7.9
1138	8.6
1139	8.9
1140	154.3
1141	5.2
1142	0.1
1143	177
1144	10.4
1145	11.6
1146	4.8
1147	6.5
1148	193.4
1149	4.7
1150	7.5
1151	7.7
1152	161.6
1153	165.5
1154	0
1155	0.1
1156	176.2
1157	5.9
1158	0.2
1159	122.7
1160	4.7
1161	0.1
1162	12.4
1163	9.8
1164	202.6
1165	0.1
1166	158.2
1167	167.6
1168	172
1169	154.5
1170	200.8
1171	10.4
1172	139.1
1173	9.2
1174	183.3
1175	9.1
1176	75.7
1177	0.1
1178	5
1179	204.8
1180	10.7
1181	10.6
1182	6.8
1183	0.1
1184	0.1
1185	166.1
1186	135.6
1187	5.5
1188	4.8
1189	9.3
1190	5.3
1191	166.6
1192	4.6
1193	137.1
1194	6
1195	262.5
1196	5.7
1197	0.1
1198	0.1
1199	121.6
1200	27.2
1201	5.3
1202	10.1
1203	0.1
1204	6.8
1205	7.7
1206	0.1
1207	7.8
1208	0.1
1209	7.4
1210	146.2
1211	152.8
1212	0.1
1213	113.9
1214	151.2
1215	8.9
1216	163.5
1217	116.3
1218	0.1
1219	0.1
1220	110.3
1221	5.4
1222	6.9
1223	8.3
1224	4.1
1225	265.9
1226	126.4
1227	93.9
1228	9.6
