"COMID"	"Value"
1	47.1
2	0.8
3	50.7
4	33.5
5	25.3
6	0.9
7	60.3
8	1.9
9	0.1
10	0.5
11	45.9
12	0.2
13	0.1
14	31.8
15	1.5
16	0.7
17	61.7
18	27.4
19	49.6
20	59.4
21	4.8
22	41.9
23	0.3
24	0.1
25	13.4
26	15.8
27	7.3
28	29.6
29	0.3
30	3.2
31	59.4
32	34.3
33	41.8
34	0.1
35	18.2
36	0.4
37	21.8
38	0.5
39	0
40	1.2
41	29.3
42	3.8
43	1.4
44	36.1
45	1
46	0.2
47	3.2
48	41.8
49	6.8
50	6.8
51	0
52	0.3
53	0.6
54	46.1
55	47.2
56	54
57	1.2
58	0
59	1.4
60	0
61	0.4
62	0.4
63	38.8
64	2.7
65	0.2
66	5.1
67	35.1
68	1.6
69	1.8
70	1.8
71	0.8
72	19.1
73	0.1
74	42.8
75	3
76	2.5
77	4.4
78	1.3
79	38.7
80	1.8
81	8.2
82	2.2
83	8.7
84	0.5
85	14.4
86	3.8
87	0.1
88	0.1
89	0.3
90	1.9
91	8.8
92	32.5
93	15.2
94	0.2
95	75.1
96	0.9
97	49.8
98	0.9
99	0.4
100	35
101	16.2
102	6.1
103	0
104	2
105	1.8
106	46.6
107	0.4
108	1.2
109	1.9
110	1.5
111	0.8
112	54.5
113	0.1
114	57.7
115	2.2
116	4.2
117	32.6
118	14.6
119	0
120	0.5
121	0.2
122	8.1
123	0.9
124	17.1
125	12.3
126	19.9
127	14.4
128	31.7
129	0
130	3.4
131	0.7
132	0.5
133	29.6
134	3.3
135	12.1
136	13.2
137	28
138	0.8
139	0.5
140	1.9
141	1.5
142	1.2
143	0.1
144	0.4
145	0.9
146	19.1
147	39.3
148	24.7
149	6.1
150	23.1
151	3.7
152	11.5
153	0.8
154	6.5
155	0.8
156	2.9
157	24.1
158	1.1
159	1.5
160	9
161	2.1
162	2.6
163	0.4
164	2.9
165	0.1
166	2.9
167	21.3
168	0.1
169	23.4
170	4.9
171	14.7
172	3
173	3
174	1.8
175	0.5
176	44
177	2.1
178	3.2
179	9.7
180	2.4
181	0.4
182	0.7
183	0.8
184	3.1
185	1.3
186	1.3
187	2.2
188	3
189	2.4
190	2.9
191	2.4
192	4.3
193	0.8
194	65.2
195	1.9
196	2.1
197	3.1
198	2.6
199	6.1
200	2.3
201	2.9
202	1.1
203	1.5
204	0.7
205	1.2
206	4.4
207	5.9
208	50.4
209	4
210	18.8
211	29.1
212	30.4
213	2.1
214	0.6
215	18.3
216	1.2
217	2.2
218	0.2
219	0.2
220	1.6
221	0.2
222	19.6
223	45.3
224	0.3
225	0.6
226	13.9
227	0.7
228	5.3
229	0.5
230	8.8
231	6.7
232	0.3
233	24.3
234	0.2
235	3.2
236	1.7
237	1.5
238	0.1
239	20.5
240	28
241	13.1
242	0.3
243	0.3
244	38.5
245	11.8
246	28.4
247	2.8
248	1.7
249	0.1
250	37.5
251	14.6
252	23.1
253	0.4
254	1
255	0.8
256	15.5
257	1
258	3.5
259	3.1
260	1.2
261	13.6
262	12.9
263	4.1
264	0.6
265	0.7
266	6.7
267	32.8
268	5.4
269	33.6
270	0.5
271	14.2
272	16.3
273	26.9
274	0.3
275	12.3
276	0.2
277	0.6
278	13.5
279	0.6
280	13.2
281	16.1
282	28.4
283	0.4
284	8.6
285	0.2
286	13.8
287	24.9
288	2.9
289	0.3
290	0.4
291	1.3
292	3.2
293	0.2
294	7.6
295	0.4
296	5.3
297	16.8
298	0.2
299	4.5
300	14.2
301	0.7
302	14.7
303	6.3
304	1.9
305	15.9
306	6.2
307	10.7
308	8.6
309	0.4
310	1.7
311	8.3
312	8.5
313	3
314	2.3
315	0.6
316	0.7
317	0.2
318	5.7
319	0.2
320	6.5
321	0.4
322	1.2
323	5.6
324	0.8
325	0.4
326	2.8
327	1
328	1.1
329	0.5
330	0.4
331	1.4
332	0.8
333	2.6
334	1
335	4.3
336	2.3
337	0.7
338	2.8
339	2.6
340	2.6
341	2.7
342	0.3
343	3.2
344	5.8
345	3
346	1.8
347	3.2
348	6.7
349	3.9
350	2.9
351	3.1
352	2.6
353	13.7
354	3.5
355	0.8
356	3
357	1.6
358	3.6
359	0.2
360	3.3
361	1.7
362	3.1
363	3.2
364	0.2
365	5.3
366	0.6
367	0.2
368	71.7
369	0.2
370	22.1
371	0.4
372	0.2
373	0.5
374	0.2
375	8.9
376	0
377	27.5
378	0.6
379	0.2
380	27.3
381	0.1
382	0.4
383	8.1
384	0.1
385	1.4
386	0.2
387	80.4
388	0.5
389	0.5
390	64.2
391	0.1
392	1
393	0.7
394	0.2
395	0.8
396	1.9
397	0.7
398	0.1
399	5.2
400	0.1
401	65.2
402	0.4
403	2.1
404	0.3
405	0.3
406	12.1
407	3.1
408	0.3
409	0.3
410	17.3
411	40
412	0.4
413	26
414	0.4
415	1.6
416	0.5
417	0.6
418	1.1
419	1.2
420	0.9
421	2.5
422	1.9
423	12.1
424	10
425	200
426	0.8
427	10.6
428	9.3
429	11.9
430	8
431	2.1
432	0.5
433	149.7
434	1
435	0.2
436	48.3
437	4.8
438	324.7
439	0.8
440	13.1
441	4.7
442	0
443	5.5
444	1
445	508.2
446	0.1
447	534.5
448	444.3
449	0.1
450	1.4
451	1.3
452	70.4
453	1.5
454	0
455	0.8
456	0
457	43.7
458	43.4
459	23.8
460	0.6
461	9.9
462	137.9
463	2
464	0.1
465	54.6
466	2.6
467	3.2
468	2.1
469	0.3
470	0.7
471	1
472	13
473	1.7
474	0.8
475	4.1
476	1
477	148.2
478	2.4
479	0.8
480	27
481	1.4
482	1.2
483	54.3
484	0.2
485	0.2
486	3.8
487	0.7
488	9
489	1.2
490	5.3
491	1.7
492	33.1
493	0.9
494	12.4
495	4
496	0.8
497	15.4
498	0.3
499	0.8
500	6.3
501	0.9
502	16.1
503	0.1
504	0.2
505	2
506	8.3
507	16.6
508	2.2
509	5.8
510	1.1
511	4.4
512	5.4
513	0.2
514	3.4
515	0.4
516	0.1
517	13.9
518	0.1
519	0.5
520	10
521	0.2
522	0.1
523	0.5
524	40.1
525	0.1
526	0.5
527	0.2
528	0.2
529	0.9
530	32.3
531	20.8
532	61
533	0.2
534	0
535	34.8
536	30.3
537	4.6
538	1.2
539	0
540	0.1
541	6.4
542	22.3
543	0
544	0.9
545	6.3
546	18.5
547	0
548	3.8
549	8.5
550	0
551	5
552	0
553	1.7
554	0.6
555	0.1
556	0
557	0
558	3.9
559	1.9
560	10.2
561	4.4
562	23.1
563	1.1
564	2.8
565	2.5
566	20.3
567	0.1
568	15
569	0.2
570	0.3
571	4.8
572	7.4
573	0
574	0
575	0
576	17.4
577	1.2
578	2.1
579	6.2
580	12.8
581	1.7
582	0
583	0.1
584	0.1
585	24.5
586	0
587	21.8
588	0
589	17.7
590	0.6
591	0
592	3.8
593	13.2
594	0.5
595	0
596	0.1
597	0.3
598	0
599	23.3
600	0.3
601	0.1
602	0.5
603	191.6
604	0
605	1.3
606	0
607	0.1
608	0.2
609	3.1
610	0.1
611	0.3
612	3.7
613	0.2
614	78.4
615	0.1
616	1.9
617	17.1
618	141.8
619	0.8
620	0.3
621	0
622	80.2
623	73.4
624	82.2
625	0.1
626	0.1
627	14.8
628	0.1
629	0.9
630	41.7
631	0.1
632	193.9
633	26.5
634	0.2
635	0.8
636	1.7
637	0.4
638	0
639	141.8
640	0.1
641	27.2
642	1.2
643	71.5
644	4.5
645	196
646	28.8
647	0.1
648	293.9
649	65.5
650	0.1
651	48.8
652	0
653	0.4
654	0.1
655	0.3
656	0
657	68.9
658	0.6
659	74.8
660	6.9
661	0.4
662	29.4
663	66.7
664	0
665	0
666	0
667	1.5
668	49.1
669	3.1
670	0.1
671	0.1
672	0
673	38.1
674	0.1
675	21.1
676	53.1
677	29.6
678	0.8
679	0
680	0.1
681	33.2
682	59.5
683	29.9
684	58
685	0
686	36.3
687	0.3
688	15.4
689	0.1
690	40.9
691	0.5
692	27.1
693	0.8
694	0.1
695	0.5
696	26.4
697	0
698	42.3
699	66.1
700	13.6
701	0.3
702	21.5
703	11.4
704	64.3
705	34.1
706	0.9
707	36
708	17.2
709	27.9
710	57.2
711	0
712	13.4
713	56.2
714	0.3
715	45.6
716	1.1
717	233
718	17.8
719	53.5
720	10
721	0
722	24.4
723	12.5
724	81.3
725	0
726	0.4
727	0.1
728	30.8
729	0.4
730	49.8
731	0.5
732	0.1
733	51.4
734	7.5
735	9.6
736	0.8
737	73.4
738	8.5
739	80.4
740	78
741	32.6
742	385.6
743	49.9
744	0.1
745	0.2
746	5.8
747	8.2
748	0.1
749	41.1
750	0.1
751	4.8
752	57.5
753	7.8
754	15.9
755	55.9
756	11.6
757	36.5
758	45.4
759	0
760	4.1
761	0
762	33
763	53.7
764	20.3
765	3.8
766	0.4
767	63.2
768	46.5
769	35.8
770	45.9
771	25.9
772	37.6
773	2.2
774	1.8
775	0.5
776	0.3
777	24.6
778	13.6
779	0.1
780	35.8
781	49.6
782	748.7
783	755.7
784	714.6
785	745.4
786	687.8
787	696.6
788	541.2
789	587
790	681.4
791	656.2
792	642.5
793	581.7
794	707.6
795	692.3
796	575.5
797	694.6
798	554.7
799	596.8
800	654.7
801	599.3
802	612.2
803	635.4
804	529.3
805	576.9
806	619.7
807	468.5
808	609.6
809	694.5
810	735.4
811	587.1
812	678.3
813	611.5
814	632.3
815	630.7
816	575.4
817	518.5
818	662.4
819	754.1
820	612.5
821	715.9
822	897.1
823	622.9
824	712.5
825	647.1
826	693.7
827	887.7
828	916.6
829	683.8
830	894.4
831	683.9
832	889.9
833	708.7
834	940.5
835	852.2
836	885.2
837	660.5
838	778.2
839	715.2
840	864
841	834
842	667.1
843	407.1
844	948.6
845	833.9
846	759.4
847	849
848	759
849	674
850	1022.9
851	1009.9
852	826.4
853	887.2
854	906.9
855	868.7
856	785.8
857	791
858	1006.1
859	728.5
860	643.7
861	990.2
862	215
863	856.3
864	726.8
865	957.7
866	656.8
867	779.2
868	998.4
869	705.4
870	599.2
871	739.4
872	725.4
873	279.6
874	847.4
875	967.7
876	727.4
877	856.7
878	855.5
879	949
880	785.9
881	796.3
882	663.5
883	775.7
884	857.1
885	857.2
886	156.5
887	694.9
888	761.9
889	857.7
890	754.7
891	753.6
892	661.5
893	801.3
894	167.9
895	930.5
896	1000.7
897	750.4
898	718.9
899	834.4
900	804.8
901	841.4
902	1058.4
903	1007.7
904	892.8
905	810.2
906	1034.9
907	679
908	702.5
909	886.9
910	152.8
911	911.7
912	760.3
913	693.3
914	779
915	184.4
916	712.3
917	914.7
918	780.6
919	709.9
920	786.9
921	785.1
922	751.7
923	424.6
924	818.9
925	969.1
926	805.7
927	925.5
928	532.5
929	730.9
930	694
931	926.6
932	580
933	851.6
934	160.4
935	793
936	803.3
937	1041.4
938	1021.9
939	913.5
940	746.1
941	917.5
942	672.7
943	119.7
944	987.6
945	772.6
946	824.7
947	137
948	759.5
949	882.6
950	919.8
951	689.5
952	744.9
953	576.6
954	603.7
955	725.6
956	755.5
957	719.8
958	543.5
959	706.8
960	779.2
961	730.1
962	861.7
963	779.6
964	78.5
965	868.2
966	709.7
967	111.3
968	693.3
969	683.1
970	606.7
971	907.2
972	832.2
973	778.8
974	704.4
975	977.3
976	950.7
977	922.9
978	604.2
979	694.4
980	949
981	839
982	792.7
983	908.3
984	951.5
985	935
986	946.8
987	625.5
988	942.7
989	855.3
990	233.6
991	862.8
992	544
993	952.9
994	817.1
995	1020.6
996	911.9
997	943.5
998	651.8
999	822
1000	81.2
1001	625.2
1002	998.3
1003	200
1004	877.8
1005	607.4
1006	883.3
1007	102.1
1008	636.9
1009	430.9
1010	719.5
1011	839
1012	847
1013	623.1
1014	955.7
1015	656.3
1016	124.9
1017	950.1
1018	664.9
1019	593.1
1020	738.9
1021	823.2
1022	755.4
1023	875.8
1024	962.3
1025	689
1026	832.4
1027	814.9
1028	876.7
1029	633.4
1030	736.6
1031	110.3
1032	206.3
1033	755.9
1034	742.9
1035	675.2
1036	811.8
1037	695.3
1038	754.9
1039	571.8
1040	597.1
1041	687
1042	578.4
1043	116.8
1044	527
1045	581.8
1046	663.2
1047	937.9
1048	815.2
1049	866.6
1050	120.8
1051	834.9
1052	825.6
1053	640.5
1054	752
1055	855
1056	748
1057	742.1
1058	786
1059	741.9
1060	748.7
1061	104.5
1062	744.5
1063	912.3
1064	664.1
1065	538.2
1066	837.7
1067	712.8
1068	757.7
1069	685.6
1070	864.7
1071	726.1
1072	684.1
1073	695.2
1074	851.2
1075	525.3
1076	837.6
1077	706.4
1078	771.4
1079	772.6
1080	633.3
1081	732.6
